LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,GDPHRWKD,TOT,USD,A,1970,31.062792,
USA,GDPHRWKD,TOT,USD,A,1971,32.228337,
USA,GDPHRWKD,TOT,USD,A,1972,33.013565,
USA,GDPHRWKD,TOT,USD,A,1973,33.796318,
USA,GDPHRWKD,TOT,USD,A,1974,33.499292,
USA,GDPHRWKD,TOT,USD,A,1975,34.4191,
USA,GDPHRWKD,TOT,USD,A,1976,35.252299,
USA,GDPHRWKD,TOT,USD,A,1977,35.623125,
USA,GDPHRWKD,TOT,USD,A,1978,35.914243,
USA,GDPHRWKD,TOT,USD,A,1979,36.078427,
USA,GDPHRWKD,TOT,USD,A,1980,36.090123,
USA,GDPHRWKD,TOT,USD,A,1981,36.947763,
USA,GDPHRWKD,TOT,USD,A,1982,36.788551,
USA,GDPHRWKD,TOT,USD,A,1983,37.812757,
USA,GDPHRWKD,TOT,USD,A,1984,38.609134,
USA,GDPHRWKD,TOT,USD,A,1985,39.345213,
USA,GDPHRWKD,TOT,USD,A,1986,40.254256,
USA,GDPHRWKD,TOT,USD,A,1987,40.547767,
USA,GDPHRWKD,TOT,USD,A,1988,41.027127,
USA,GDPHRWKD,TOT,USD,A,1989,41.391727,
USA,GDPHRWKD,TOT,USD,A,1990,42.114312,
USA,GDPHRWKD,TOT,USD,A,1991,42.680653,
USA,GDPHRWKD,TOT,USD,A,1992,44.160885,
USA,GDPHRWKD,TOT,USD,A,1993,44.326466,
USA,GDPHRWKD,TOT,USD,A,1994,44.705763,
USA,GDPHRWKD,TOT,USD,A,1995,44.819293,
USA,GDPHRWKD,TOT,USD,A,1996,45.943849,
USA,GDPHRWKD,TOT,USD,A,1997,46.627599,
USA,GDPHRWKD,TOT,USD,A,1998,47.662222,
USA,GDPHRWKD,TOT,USD,A,1999,49.018961,
USA,GDPHRWKD,TOT,USD,A,2000,50.372485,
USA,GDPHRWKD,TOT,USD,A,2001,51.488592,
USA,GDPHRWKD,TOT,USD,A,2002,52.96311,
USA,GDPHRWKD,TOT,USD,A,2003,54.56379,
USA,GDPHRWKD,TOT,USD,A,2004,55.976205,
USA,GDPHRWKD,TOT,USD,A,2005,57.076676,
USA,GDPHRWKD,TOT,USD,A,2006,57.535662,
USA,GDPHRWKD,TOT,USD,A,2007,58.102918,
USA,GDPHRWKD,TOT,USD,A,2008,58.547611,
USA,GDPHRWKD,TOT,USD,A,2009,60.242055,
USA,GDPHRWKD,TOT,USD,A,2010,61.925298,
USA,GDPHRWKD,TOT,USD,A,2011,62.054943,
USA,GDPHRWKD,TOT,USD,A,2012,62.202732,
USA,GDPHRWKD,TOT,USD,A,2013,62.340647,
USA,GDPHRWKD,TOT,USD,A,2014,62.688005,
USA,GDPHRWKD,TOT,USD,A,2015,63.14433,
USA,GDPHRWKD,TOT,USD,A,2016,63.260184,
USA,GDPHRWKD,TOT,IDX2010,A,1970,50.161716,
USA,GDPHRWKD,TOT,IDX2010,A,1971,52.043895,
USA,GDPHRWKD,TOT,IDX2010,A,1972,53.311919,
USA,GDPHRWKD,TOT,IDX2010,A,1973,54.575948,
USA,GDPHRWKD,TOT,IDX2010,A,1974,54.096295,
USA,GDPHRWKD,TOT,IDX2010,A,1975,55.581647,
USA,GDPHRWKD,TOT,IDX2010,A,1976,56.927137,
USA,GDPHRWKD,TOT,IDX2010,A,1977,57.525966,
USA,GDPHRWKD,TOT,IDX2010,A,1978,57.996076,
USA,GDPHRWKD,TOT,IDX2010,A,1979,58.261209,
USA,GDPHRWKD,TOT,IDX2010,A,1980,58.280097,
USA,GDPHRWKD,TOT,IDX2010,A,1981,59.665055,
USA,GDPHRWKD,TOT,IDX2010,A,1982,59.407952,
USA,GDPHRWKD,TOT,IDX2010,A,1983,61.06189,
USA,GDPHRWKD,TOT,IDX2010,A,1984,62.347918,
USA,GDPHRWKD,TOT,IDX2010,A,1985,63.536575,
USA,GDPHRWKD,TOT,IDX2010,A,1986,65.004542,
USA,GDPHRWKD,TOT,IDX2010,A,1987,65.478517,
USA,GDPHRWKD,TOT,IDX2010,A,1988,66.252611,
USA,GDPHRWKD,TOT,IDX2010,A,1989,66.841386,
USA,GDPHRWKD,TOT,IDX2010,A,1990,68.008251,
USA,GDPHRWKD,TOT,IDX2010,A,1991,68.922807,
USA,GDPHRWKD,TOT,IDX2010,A,1992,71.313158,
USA,GDPHRWKD,TOT,IDX2010,A,1993,71.580546,
USA,GDPHRWKD,TOT,IDX2010,A,1994,72.193053,
USA,GDPHRWKD,TOT,IDX2010,A,1995,72.376386,
USA,GDPHRWKD,TOT,IDX2010,A,1996,74.192375,
USA,GDPHRWKD,TOT,IDX2010,A,1997,75.296527,
USA,GDPHRWKD,TOT,IDX2010,A,1998,76.967288,
USA,GDPHRWKD,TOT,IDX2010,A,1999,79.158216,
USA,GDPHRWKD,TOT,IDX2010,A,2000,81.343954,
USA,GDPHRWKD,TOT,IDX2010,A,2001,83.146297,
USA,GDPHRWKD,TOT,IDX2010,A,2002,85.527421,
USA,GDPHRWKD,TOT,IDX2010,A,2003,88.112277,
USA,GDPHRWKD,TOT,IDX2010,A,2004,90.393114,
USA,GDPHRWKD,TOT,IDX2010,A,2005,92.170209,
USA,GDPHRWKD,TOT,IDX2010,A,2006,92.911402,
USA,GDPHRWKD,TOT,IDX2010,A,2007,93.827435,
USA,GDPHRWKD,TOT,IDX2010,A,2008,94.545546,
USA,GDPHRWKD,TOT,IDX2010,A,2009,97.281818,
USA,GDPHRWKD,TOT,IDX2010,A,2010,100,
USA,GDPHRWKD,TOT,IDX2010,A,2011,100.209358,
USA,GDPHRWKD,TOT,IDX2010,A,2012,100.448015,
USA,GDPHRWKD,TOT,IDX2010,A,2013,100.670727,
USA,GDPHRWKD,TOT,IDX2010,A,2014,101.231657,
USA,GDPHRWKD,TOT,IDX2010,A,2015,101.968553,
USA,GDPHRWKD,TOT,IDX2010,A,2016,102.15564,
